Numer zamówienia;Zleceniodawca;Model telefonu;Rodzaj sesji (wykorzystywana technologia radiowa);Badane pasmo 5G;Dodatkowe pasmo 5G;Badane pasmo 4G;D³ugoœæ trwania sesji (badania poszczególnych  funkcji) [tyg];Po¿¹dany tydzieñ zakoñczenia sesji [tyg];Alternatywna lokalizacja testï¿½w;;;;;;;Dodatkowe5G
1;OnePlus;9s;Non-Standalone (NSA);n1;n5;b3;4;6;Ulm;;;;;;;
2;Apple;13;Non-Standalone (NSA);n8;-;b28;5;11;Dallas;;;;;;;
3;Oppo;9X;Standalone (SA);n20;-;-;8;13;Ulm;;;;;;;
4;Xiaomi;12pro;Non-Standalone (NSA);n40;n78;b47;8;16;Pekin;;;;;;;
5;OnePlus;7;Standalone (SA);n41;n77;-;5;12;Dallas;;;;;;;
6;Samsung;21;Standalone (SA);n78;-;-;4;8;Krakï¿½w;;;;;;;
7;Vivo;x60;Non-Standalone (NSA);n14;-;b5;5;10;Pekin;;;;;;;
8;Apple;12pro;Standalone (SA);n3;n28;-;6;16;Ulm;;;;;;;
9;Samsung;Ultra;Non-Standalone (NSA);n77;-;b77;8;9;Krakï¿½w;;;;;;;
10;Apple;13mini;Non-Standalone (NSA);n28;-;b1;4;21;Dallas;;;;;;;
