Numer zamówienia;Zleceniodawca;Model telefonu;Rodzaj sesji (wykorzystywana technologia radiowa);Badane pasmo 5G;Dodatkowe pasmo 5G;Badane pasmo 4G;D³ugoœæ trwania sesji (badania poszczególnych  funkcji) [tyg];Po¿¹dany tydzieñ zakoñczenia sesji [tyg];Alternatywna lokalizacja testï¿½w;;;;;;;Dodatkowe5G
1;OnePlus;9s;Non-Standalone (NSA);n1;n5;b3;3;6;Ulm;;;;;;;
2;Apple;13;Non-Standalone (NSA);n8;-;b28;5;11;Dallas;;;;;;;
3;Oppo;9X;Standalone (SA);n20;-;-;4;10;Ulm;;;;;;;
4;Xiaomi;12pro;Non-Standalone (NSA);n40;n78;b47;8;16;Pekin;;;;;;;
5;OnePlus;7;Standalone (SA);n41;n77;-;6;12;Dallas;;;;;;;
6;Samsung;21;Standalone (SA);n78;-;-;4;8;Krakï¿½w;;;;;;;
7;Vivo;x60;Non-Standalone (NSA);n14;-;b5;5;10;Pekin;;;;;;;
8;Apple;12pro;Standalone (SA);n3;n28;-;6;16;Ulm;;;;;;;
9;Samsung;Ultra;Non-Standalone (NSA);n77;-;b77;8;9;Krakï¿½w;;;;;;;
10;Apple;13mini;Non-Standalone (NSA);n28;-;b1;6;14;Dallas;;;;;;;
11;Apple;14;Non-Standalone (NSA);n5;-;b1;5;5;Pekin;;;;;;;
12;Samsung;S22;Standalone (SA);n41;-;-;4;9;Dallas;;;;;;;
13;Oppo;4x;Non-Standalone (NSA);n20;n28;b14;5;10;Ulm;;;;;;;
14;Vivo;5s;Standalone (SA);n78;n77;-;3;12;Paryï¿½;;;;;;;
15;OnePlus;9;Non-Standalone (NSA);n3;-;b3;5;12;Krakï¿½w;;;;;;;
16;Zenfone;ZX;Non-Standalone (NSA);n8;n14;b8;3;19;Warszawa;;;;;;;
17;Xiaomi;11pro;Standalone (SA);n47;-;-;6;22;Dallas;;;;;;;
18;Huawei;Mate;Non-Standalone (NSA);n40;-;b40;8;18;Warszawa;;;;;;;
19;Apple;12max;Standalone (SA);n28;n1;-;6;20;Ulm;;;;;;;
20;Samsung;S7;Non-Standalone (NSA);n5;-;b14;5;18;Krakï¿½w;;;;;;;
21;Samsung;S21;Non-Standalone (NSA);n8;-;b28;4;12;Londyn;;;;;;;
22;Xiaomi;T11;Standalone (SA);n78;-;-;3;6;Paryï¿½;;;;;;;
23;OnePlus;9x;Non-Standalone (NSA);n40;-;b40;4;17;Ulm;;;;;;;
24;Apple;11pro;Standalone (SA);n41;n47;-;8;30;Pekin;;;;;;;
25;Oppo;A94;Non-Standalone (NSA);n28;-;b28;3;11;Krakï¿½w;;;;;;;
