Numer zamówienia;Zleceniodawca;Model telefonu;Rodzaj sesji (wykorzystywana technologia radiowa);Badane pasmo 5G;Dodatkowe pasmo 5G;Badane pasmo 4G;D³ugoœæ trwania sesji (badania poszczególnych  funkcji) [tyg];Po¿¹dany tydzieñ zakoñczenia sesji [tyg];Alternatywna lokalizacja testów;;;;;;;Dodatkowe5G
1;OnePlus;9s;Non-Standalone (NSA);n1;n5;b3;3;6;Ulm;;;;;;;
2;Apple;13;Non-Standalone (NSA);n8;-;b28;5;11;Dallas;;;;;;;
3;Oppo;9X;Standalone (SA);n20;-;-;4;13;Ulm;;;;;;;
4;Xiaomi;12pro;Non-Standalone (NSA);n40;n78;b47;8;16;Pekin;;;;;;;
5;OnePlus;7;Standalone (SA);n41;n77;-;5;12;Dallas;;;;;;;
6;Samsung;21;Standalone (SA);n78;-;-;4;8;Kraków;;;;;;;
7;Vivo;x60;Non-Standalone (NSA);n14;-;b5;4;10;Pekin;;;;;;;
8;Apple;12pro;Standalone (SA);n3;n28;-;6;16;Ulm;;;;;;;
9;Samsung;Ultra;Non-Standalone (NSA);n77;-;b77;8;9;Kraków;;;;;;;
10;Apple;13mini;Non-Standalone (NSA);n28;-;b1;4;21;Dallas;;;;;;;
11;Apple;14;Non-Standalone (NSA);n5;n1;b1;3;5;Pekin;;;;;;;
12;Samsung;S22;Standalone (SA);n41;-;-;4;9;Dallas;;;;;;;
13;Oppo;4x;Non-Standalone (NSA);n20;n28;b14;5;15;Ulm;;;;;;;
14;Vivo;5s;Standalone (SA);n78;n77;-;7;14;Pary¿;;;;;;;
15;OnePlus;9;Non-Standalone (NSA);n3;-;b3;2;12;Kraków;;;;;;;
16;Zenfone;ZX;Non-Standalone (NSA);n8;n14;b8;3;19;Warszawa;;;;;;;
17;Xiaomi;12pro;Standalone (SA);n47;-;-;4;22;Dallas;;;;;;;
18;OnePlus;7;Non-Standalone (NSA);n40;-;b40;3;24;Warszawa;;;;;;;
19;Samsung;21;Standalone (SA);n28;n1;-;6;27;Ulm;;;;;;;
20;Vivo;x60;Non-Standalone (NSA);n5;-;b14;5;18;Kraków;;;;;;;
21;Apple;12pro;Non-Standalone (NSA);n8;n28;b28;2;12;Londyn;;;;;;;
22;Samsung;Ultra;Standalone (SA);n78;-;-;4;8;Pary¿;;;;;;;
23;Apple;13mini;Non-Standalone (NSA);n40;-;b40;4;17;Ulm;;;;;;;
24;Apple;11pro;Standalone (SA);n41;n47;-;8;30;Pekin;;;;;;;
25;Oppo;A94;Non-Standalone (NSA);n28;-;b28;3;11;Kraków;;;;;;;
26;Xiaomi;12pro;Non-Standalone (NSA);n1;-;b1;5;25;Dallas;;;;;;;
27;OnePlus;7;Non-Standalone (NSA);n8;n28;b28;3;21;Ulm;;;;;;;
28;Samsung;21;Non-Standalone (NSA);n5;-;b3;8;31;Pary¿;;;;;;;
29;Vivo;x60;Standalone (SA);n5;n8;-;7;28;Kraków;;;;;;;
30;Apple;12pro;Non-Standalone (NSA);n3;-;b1;6;33;Warszawa;;;;;;;
31;Samsung;Ultra;Standalone (SA);n41;-;-;2;21;Dallas;;;;;;;
32;Apple;13mini;Standalone (SA);n41;n77;-;3;19;Warszawa;;;;;;;
33;Samsung;S22;Standalone (SA);n77;-;-;4;25;Pekin;;;;;;;
34;Oppo;4x;Standalone (SA);n78;-;-;4;37;Dallas;;;;;;;
35;Vivo;5s;Non-Standalone (NSA);n47;n41;b77;5;17;Kraków;;;;;;;
36;OnePlus;9;Standalone (SA);n77;n78;-;2;22;Pekin;;;;;;;
37;Zenfone;ZX;Non-Standalone (NSA);n41;-;b41;3;41;Ulm;;;;;;;
38;Xiaomi;12pro;Standalone (SA);n8;n28;-;7;27;Ulm;;;;;;;
39;OnePlus;7;Non-Standalone (NSA);n14;-;b14;4;23;Pary¿;;;;;;;
40;Samsung;21;Standalone (SA);n1;n14;-;5;18;Kraków;;;;;;;
41;Samsung;Ultra;Standalone (SA);n8;-;-;2;25;Kraków;;;;;;;
42;Apple;13mini;Standalone (SA);n20;-;-;2;54;Pekin;;;;;;;
43;Apple;11pro;Non-Standalone (NSA);n28;n8;b28;4;26;Ulm;;;;;;;
44;Oppo;A94;Non-Standalone (NSA);n8;-;b3;5;19;Kraków;;;;;;;
45;Xiaomi;12pro;Standalone (SA);n5;n1;-;6;21;Dallas;;;;;;;
46;OnePlus;7;Standalone (SA);n8;-;-;7;34;Pekin;;;;;;;
47;Samsung;21;Standalone (SA);n40;-;-;4;29;Dallas;;;;;;;
48;Xiaomi;12pro;Non-Standalone (NSA);n41;-;b41;3;31;Ulm;;;;;;;
49;OnePlus;7;Standalone (SA);n41;n47;-;5;17;Pary¿;;;;;;;
50;Samsung;21;Standalone (SA);n14;n20;-;6;14;Pekin;;;;;;;
51;OnePlus;7;Non-Standalone (NSA);n1;-;b1;4;51;Kraków;;;;;;;
52;Samsung;21;Standalone (SA);n3;-;-;2;38;Warszawa;;;;;;;
53;Vivo;x60;Non-Standalone (NSA);n5;n1;b5;5;39;Dallas;;;;;;;
54;Apple;12pro;Non-Standalone (NSA);n8;-;b5;7;41;Warszawa;;;;;;;
55;Samsung;Ultra;Standalone (SA);n14;n5;-;6;21;Pekin;;;;;;;
56;Apple;13mini;Non-Standalone (NSA);n20;-;b28;8;42;Dallas;;;;;;;
57;Samsung;S22;Standalone (SA);n3;n1;-;4;45;Kraków;;;;;;;
58;Oppo;4x;Standalone (SA);n5;n8;-;8;48;Pekin;;;;;;;
59;Vivo;5s;Standalone (SA);n20;-;-;3;53;Ulm;;;;;;;
60;OnePlus;9;Non-Standalone (NSA);n28;-;b1;4;15;Ulm;;;;;;;
61;Zenfone;ZX;Non-Standalone (NSA);n1;n14;b14;5;13;Pary¿;;;;;;;
62;Xiaomi;12pro;Standalone (SA);n14;-;-;3;21;Kraków;;;;;;;
63;OnePlus;7;Non-Standalone (NSA);n20;-;b8;4;33;Pekin;;;;;;;
64;Samsung;21;Standalone (SA);n40;-;-;6;11;Pary¿;;;;;;;
65;Samsung;Ultra;Non-Standalone (NSA);n41;n77;-;4;12;Ulm;;;;;;;
66;Vivo;5s;Standalone (SA);n78;-;-;3;45;Kraków;;;;;;;
67;OnePlus;9;Non-Standalone (NSA);n77;n78;b77;2;38;Dallas;;;;;;;
68;Zenfone;ZX;Standalone (SA);n47;-;-;4;27;Warszawa;;;;;;;
69;Xiaomi;12pro;Non-Standalone (NSA);n47;-;b47;6;31;Dallas;;;;;;;
70;OnePlus;7;Standalone (SA);n77;n78;-;8;48;Warszawa;;;;;;;
71;Samsung;21;Non-Standalone (NSA);n40;-;b40;6;32;Ulm;;;;;;;
72;Vivo;x60;Non-Standalone (NSA);n41;n77;b77;2;27;Kraków;;;;;;;
73;Apple;12pro;Non-Standalone (NSA);n40;-;b41;3;21;Londyn;;;;;;;
74;Samsung;Ultra;Standalone (SA);n78;n41;-;8;19;Pary¿;;;;;;;
75;Apple;13mini;Standalone (SA);n40;n47;-;7;34;Ulm;;;;;;;
76;Oppo;A94;Non-Standalone (NSA);n77;-;-;5;29;Pekin;;;;;;;
77;Xiaomi;12pro;Standalone (SA);n28;n20;-;6;21;Kraków;;;;;;;
78;OnePlus;7;Non-Standalone (NSA);n8;-;b28;9;43;Warszawa;;;;;;;
79;Samsung;21;Non-Standalone (NSA);n28;n8;b1;2;17;Pekin;;;;;;;
80;Vivo;x60;Standalone (SA);n20;-;-;3;9;Dallas;;;;;;;
81;Apple;12pro;Non-Standalone (NSA);n14;n8;b8;2;12;Kraków;;;;;;;
82;Samsung;Ultra;Non-Standalone (NSA);n8;-;b8;5;42;Pekin;;;;;;;
83;Apple;13mini;Standalone (SA);n3;-;-;7;26;Ulm;;;;;;;
84;Samsung;S22;Non-Standalone (NSA);n5;n3;b8;6;48;Ulm;;;;;;;
85;Oppo;4x;Non-Standalone (NSA);n8;-;b5;8;31;Pary¿;;;;;;;
86;Vivo;5s;Non-Standalone (NSA);b28;-;b14;8;38;Kraków;;;;;;;
87;OnePlus;9;Standalone (SA);n14;n28;-;3;41;Kraków;;;;;;;
88;Zenfone;ZX;Standalone (SA);n20;n3;-;4;20;Pekin;;;;;;;
89;Xiaomi;12pro;Non-Standalone (NSA);n77;-;b47;5;30;Pary¿;;;;;;;
90;Samsung;21;Standalone (SA);n40;n41;-;2;49;Ulm;;;;;;;
